cuda:0
genrr_chi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.23100000619888306 -- 112th test, time elapsed 1.4724035263061523 -- emperical power so far: 0.375
tensor(2.6453, device='cuda:0')
pval: 0.4650000333786011 -- 113th test, time elapsed 1.456493854522705 -- emperical power so far: 0.37168141592920356
tensor(2.3376, device='cuda:0')
pval: 0.492000013589859 -- 114th test, time elapsed 1.427365779876709 -- emperical power so far: 0.3684210526315789
tensor(11.9236, device='cuda:0')
pval: 0.007000000216066837 -- 115th test, time elapsed 1.4843060970306396 -- emperical power so far: 0.3739130434782609
tensor(9.5481, device='cuda:0')
pval: 0.018000001087784767 -- 116th test, time elapsed 1.5328269004821777 -- emperical power so far: 0.3793103448275862
tensor(5.5659, device='cuda:0')
pval: 0.12700000405311584 -- 117th test, time elapsed 1.522608757019043 -- emperical power so far: 0.37606837606837606
tensor(15.9697, device='cuda:0')
pval: 0.003000000026077032 -- 118th test, time elapsed 1.4833080768585205 -- emperical power so far: 0.3813559322033898
tensor(5.7071, device='cuda:0')
pval: 0.13700000941753387 -- 119th test, time elapsed 1.480379581451416 -- emperical power so far: 0.37815126050420167
tensor(5.9635, device='cuda:0')
pval: 0.10600000619888306 -- 120th test, time elapsed 1.4727609157562256 -- emperical power so far: 0.375
tensor(4.9742, device='cuda:0')
pval: 0.1850000023841858 -- 121th test, time elapsed 1.4884793758392334 -- emperical power so far: 0.371900826446281
tensor(5.3505, device='cuda:0')
pval: 0.13300000131130219 -- 122th test, time elapsed 1.4501190185546875 -- emperical power so far: 0.36885245901639346
tensor(4.9238, device='cuda:0')
pval: 0.16900001466274261 -- 123th test, time elapsed 1.4838786125183105 -- emperical power so far: 0.36585365853658536
tensor(7.4679, device='cuda:0')
pval: 0.05400000140070915 -- 124th test, time elapsed 1.4604597091674805 -- emperical power so far: 0.3629032258064516
tensor(16.6247, device='cuda:0')
pval: 0.0020000000949949026 -- 125th test, time elapsed 1.4960358142852783 -- emperical power so far: 0.368
tensor(10.3327, device='cuda:0')
pval: 0.015000000596046448 -- 126th test, time elapsed 1.4572155475616455 -- emperical power so far: 0.373015873015873
tensor(7.3687, device='cuda:0')
pval: 0.07100000232458115 -- 127th test, time elapsed 1.4667291641235352 -- emperical power so far: 0.3700787401574803
tensor(2.3932, device='cuda:0')
pval: 0.47600001096725464 -- 128th test, time elapsed 1.440492868423462 -- emperical power so far: 0.3671875
tensor(4.8039, device='cuda:0')
pval: 0.19100001454353333 -- 129th test, time elapsed 1.4861962795257568 -- emperical power so far: 0.3643410852713178
tensor(3.9773, device='cuda:0')
pval: 0.27300000190734863 -- 130th test, time elapsed 1.5001990795135498 -- emperical power so far: 0.36153846153846153
tensor(10.0928, device='cuda:0')
pval: 0.015000000596046448 -- 131th test, time elapsed 1.4509284496307373 -- emperical power so far: 0.366412213740458
tensor(9.8686, device='cuda:0')
pval: 0.023000001907348633 -- 132th test, time elapsed 1.5101394653320312 -- emperical power so far: 0.3712121212121212
tensor(17.9680, device='cuda:0')
pval: 0.0010000000474974513 -- 133th test, time elapsed 1.5141406059265137 -- emperical power so far: 0.37593984962406013
tensor(2.8250, device='cuda:0')
pval: 0.4230000078678131 -- 134th test, time elapsed 1.5062143802642822 -- emperical power so far: 0.373134328358209
tensor(2.4131, device='cuda:0')
pval: 0.503000020980835 -- 135th test, time elapsed 1.5264332294464111 -- emperical power so far: 0.37037037037037035
tensor(5.0373, device='cuda:0')
pval: 0.1940000057220459 -- 136th test, time elapsed 1.529097080230713 -- emperical power so far: 0.36764705882352944
tensor(5.4665, device='cuda:0')
pval: 0.14000000059604645 -- 137th test, time elapsed 1.486668586730957 -- emperical power so far: 0.36496350364963503
tensor(8.1974, device='cuda:0')
pval: 0.04400000348687172 -- 138th test, time elapsed 1.4363327026367188 -- emperical power so far: 0.3695652173913043
tensor(2.7424, device='cuda:0')
pval: 0.42600002884864807 -- 139th test, time elapsed 1.4739584922790527 -- emperical power so far: 0.3669064748201439
tensor(5.8856, device='cuda:0')
pval: 0.12000000476837158 -- 140th test, time elapsed 1.478276014328003 -- emperical power so far: 0.36428571428571427
tensor(7.2136, device='cuda:0')
pval: 0.058000002056360245 -- 141th test, time elapsed 1.4592688083648682 -- emperical power so far: 0.3617021276595745
tensor(4.8114, device='cuda:0')
pval: 0.1980000138282776 -- 142th test, time elapsed 1.4417471885681152 -- emperical power so far: 0.3591549295774648
tensor(16.8085, device='cuda:0')
pval: 0.0020000000949949026 -- 143th test, time elapsed 1.507230281829834 -- emperical power so far: 0.36363636363636365
tensor(5.1640, device='cuda:0')
pval: 0.1510000079870224 -- 144th test, time elapsed 1.5492877960205078 -- emperical power so far: 0.3611111111111111
tensor(2.7239, device='cuda:0')
pval: 0.42000001668930054 -- 145th test, time elapsed 1.362642765045166 -- emperical power so far: 0.3586206896551724
tensor(8.0956, device='cuda:0')
pval: 0.03700000047683716 -- 146th test, time elapsed 1.386824607849121 -- emperical power so far: 0.363013698630137
tensor(4.8589, device='cuda:0')
pval: 0.15600000321865082 -- 147th test, time elapsed 1.5313475131988525 -- emperical power so far: 0.36054421768707484
tensor(2.5892, device='cuda:0')
pval: 0.4520000219345093 -- 148th test, time elapsed 1.3993782997131348 -- emperical power so far: 0.3581081081081081
tensor(10.7930, device='cuda:0')
pval: 0.010000000707805157 -- 149th test, time elapsed 1.4187021255493164 -- emperical power so far: 0.3624161073825503
tensor(5.8442, device='cuda:0')
pval: 0.11900000274181366 -- 150th test, time elapsed 1.3818204402923584 -- emperical power so far: 0.36
tensor(8.0418, device='cuda:0')
pval: 0.05000000074505806 -- 151th test, time elapsed 1.440330982208252 -- emperical power so far: 0.3576158940397351
tensor(7.9063, device='cuda:0')
pval: 0.0560000017285347 -- 152th test, time elapsed 1.4196412563323975 -- emperical power so far: 0.35526315789473684
tensor(8.2061, device='cuda:0')
pval: 0.03800000250339508 -- 153th test, time elapsed 1.4009556770324707 -- emperical power so far: 0.35947712418300654
tensor(7.1351, device='cuda:0')
pval: 0.06700000166893005 -- 154th test, time elapsed 1.44932222366333 -- emperical power so far: 0.35714285714285715
tensor(15.5805, device='cuda:0')
pval: 0.0020000000949949026 -- 155th test, time elapsed 1.4397976398468018 -- emperical power so far: 0.36129032258064514
tensor(6.7522, device='cuda:0')
pval: 0.07800000160932541 -- 156th test, time elapsed 1.4381349086761475 -- emperical power so far: 0.358974358974359
tensor(10.6116, device='cuda:0')
pval: 0.018000001087784767 -- 157th test, time elapsed 1.4833509922027588 -- emperical power so far: 0.3630573248407643
tensor(8.0487, device='cuda:0')
pval: 0.0560000017285347 -- 158th test, time elapsed 1.503666877746582 -- emperical power so far: 0.36075949367088606
tensor(13.8796, device='cuda:0')
pval: 0.005000000353902578 -- 159th test, time elapsed 1.460165023803711 -- emperical power so far: 0.36477987421383645
tensor(3.6665, device='cuda:0')
pval: 0.30400002002716064 -- 160th test, time elapsed 1.4836735725402832 -- emperical power so far: 0.3625
tensor(8.1364, device='cuda:0')
pval: 0.03100000135600567 -- 161th test, time elapsed 1.4487695693969727 -- emperical power so far: 0.36645962732919257
tensor(3.8183, device='cuda:0')
pval: 0.27800002694129944 -- 162th test, time elapsed 1.4040167331695557 -- emperical power so far: 0.36419753086419754
tensor(6.3325, device='cuda:0')
pval: 0.1080000028014183 -- 163th test, time elapsed 1.4510345458984375 -- emperical power so far: 0.3619631901840491
tensor(13.6368, device='cuda:0')
pval: 0.0010000000474974513 -- 164th test, time elapsed 1.4603681564331055 -- emperical power so far: 0.36585365853658536
tensor(2.8309, device='cuda:0')
pval: 0.39900001883506775 -- 165th test, time elapsed 1.459625005722046 -- emperical power so far: 0.36363636363636365
tensor(2.2595, device='cuda:0')
pval: 0.5360000133514404 -- 166th test, time elapsed 1.4393489360809326 -- emperical power so far: 0.3614457831325301
tensor(8.8595, device='cuda:0')
pval: 0.039000000804662704 -- 167th test, time elapsed 1.504258632659912 -- emperical power so far: 0.3652694610778443
tensor(5.7717, device='cuda:0')
pval: 0.11400000751018524 -- 168th test, time elapsed 1.4289076328277588 -- emperical power so far: 0.3630952380952381
tensor(2.0131, device='cuda:0')
pval: 0.5820000171661377 -- 169th test, time elapsed 1.541227102279663 -- emperical power so far: 0.3609467455621302
tensor(0.6629, device='cuda:0')
pval: 0.8690000176429749 -- 170th test, time elapsed 1.3887333869934082 -- emperical power so far: 0.3588235294117647
tensor(2.3397, device='cuda:0')
pval: 0.48600003123283386 -- 171th test, time elapsed 1.5009922981262207 -- emperical power so far: 0.3567251461988304
tensor(5.0225, device='cuda:0')
pval: 0.1900000125169754 -- 172th test, time elapsed 1.5415730476379395 -- emperical power so far: 0.3546511627906977
tensor(19.0726, device='cuda:0')
pval: 0.0010000000474974513 -- 173th test, time elapsed 1.6294991970062256 -- emperical power so far: 0.3583815028901734
tensor(6.9253, device='cuda:0')
pval: 0.07000000029802322 -- 174th test, time elapsed 1.4881222248077393 -- emperical power so far: 0.3563218390804598
tensor(11.7880, device='cuda:0')
pval: 0.009000000543892384 -- 175th test, time elapsed 1.488492727279663 -- emperical power so far: 0.36
tensor(6.0080, device='cuda:0')
pval: 0.09400000423192978 -- 176th test, time elapsed 1.5127334594726562 -- emperical power so far: 0.35795454545454547
tensor(3.9717, device='cuda:0')
pval: 0.26200002431869507 -- 177th test, time elapsed 1.3996121883392334 -- emperical power so far: 0.3559322033898305
tensor(9.7446, device='cuda:0')
pval: 0.024000000208616257 -- 178th test, time elapsed 1.4463484287261963 -- emperical power so far: 0.3595505617977528
tensor(3.7744, device='cuda:0')
pval: 0.2720000147819519 -- 179th test, time elapsed 1.4639089107513428 -- emperical power so far: 0.3575418994413408
tensor(17.3154, device='cuda:0')
pval: 0.0020000000949949026 -- 180th test, time elapsed 1.4084365367889404 -- emperical power so far: 0.3611111111111111
