cuda:0
lapu_ell2
tensor([0.2000, 0.3000, 0.2000, 0.3000])
tensor([0.3000, 0.2000, 0.3000, 0.2000])
pval: 0.10100000351667404 -- 60th test, time elapsed 5.096709489822388 -- emperical power so far: 0.6833333333333333
tensor(0.2511, device='cuda:0')
pval: 0.005000000353902578 -- 61th test, time elapsed 5.091812372207642 -- emperical power so far: 0.6885245901639344
tensor(0.1209, device='cuda:0')
pval: 0.02200000174343586 -- 62th test, time elapsed 5.126903533935547 -- emperical power so far: 0.6935483870967742
tensor(0.2461, device='cuda:0')
pval: 0.004000000189989805 -- 63th test, time elapsed 5.090899705886841 -- emperical power so far: 0.6984126984126984
tensor(0.1855, device='cuda:0')
pval: 0.006000000052154064 -- 64th test, time elapsed 5.140788316726685 -- emperical power so far: 0.703125
tensor(0.0533, device='cuda:0')
pval: 0.125 -- 65th test, time elapsed 5.154051780700684 -- emperical power so far: 0.6923076923076923
tensor(0.0540, device='cuda:0')
pval: 0.12200000882148743 -- 66th test, time elapsed 5.168375492095947 -- emperical power so far: 0.6818181818181818
tensor(0.2781, device='cuda:0')
pval: 0.0010000000474974513 -- 67th test, time elapsed 5.1695215702056885 -- emperical power so far: 0.6865671641791045
tensor(0.1565, device='cuda:0')
pval: 0.010000000707805157 -- 68th test, time elapsed 5.189319133758545 -- emperical power so far: 0.6911764705882353
tensor(0.2575, device='cuda:0')
pval: 0.0020000000949949026 -- 69th test, time elapsed 5.089409828186035 -- emperical power so far: 0.6956521739130435
tensor(0.0685, device='cuda:0')
pval: 0.0950000062584877 -- 70th test, time elapsed 5.1744325160980225 -- emperical power so far: 0.6857142857142857
tensor(0.0351, device='cuda:0')
pval: 0.1850000023841858 -- 71th test, time elapsed 5.121800422668457 -- emperical power so far: 0.676056338028169
tensor(0.0458, device='cuda:0')
pval: 0.14000000059604645 -- 72th test, time elapsed 5.092641353607178 -- emperical power so far: 0.6666666666666666
tensor(0.3280, device='cuda:0')
pval: 0.0010000000474974513 -- 73th test, time elapsed 5.088303089141846 -- emperical power so far: 0.6712328767123288
tensor(0.1443, device='cuda:0')
pval: 0.01900000125169754 -- 74th test, time elapsed 5.133785247802734 -- emperical power so far: 0.6756756756756757
tensor(0.2330, device='cuda:0')
pval: 0.003000000026077032 -- 75th test, time elapsed 5.102956295013428 -- emperical power so far: 0.68
tensor(0.1095, device='cuda:0')
pval: 0.04100000113248825 -- 76th test, time elapsed 5.096471309661865 -- emperical power so far: 0.6842105263157895
tensor(0.2017, device='cuda:0')
pval: 0.003000000026077032 -- 77th test, time elapsed 5.148375749588013 -- emperical power so far: 0.6883116883116883
tensor(0.0819, device='cuda:0')
pval: 0.07500000298023224 -- 78th test, time elapsed 5.112401962280273 -- emperical power so far: 0.6794871794871795
tensor(0.4105, device='cuda:0')
pval: 0.0010000000474974513 -- 79th test, time elapsed 5.199760437011719 -- emperical power so far: 0.6835443037974683
tensor(0.1291, device='cuda:0')
pval: 0.020000001415610313 -- 80th test, time elapsed 5.130607843399048 -- emperical power so far: 0.6875
tensor(0.0539, device='cuda:0')
pval: 0.1210000067949295 -- 81th test, time elapsed 5.15746283531189 -- emperical power so far: 0.6790123456790124
tensor(0.0404, device='cuda:0')
pval: 0.14600001275539398 -- 82th test, time elapsed 5.161693811416626 -- emperical power so far: 0.6707317073170732
tensor(-0.0228, device='cuda:0')
pval: 0.6220000386238098 -- 83th test, time elapsed 5.127013444900513 -- emperical power so far: 0.6626506024096386
tensor(0.1742, device='cuda:0')
pval: 0.005000000353902578 -- 84th test, time elapsed 5.209395408630371 -- emperical power so far: 0.6666666666666666
tensor(0.1005, device='cuda:0')
pval: 0.05300000309944153 -- 85th test, time elapsed 5.174738645553589 -- emperical power so far: 0.6588235294117647
tensor(0.2582, device='cuda:0')
pval: 0.0010000000474974513 -- 86th test, time elapsed 5.153215408325195 -- emperical power so far: 0.6627906976744186
tensor(0.0387, device='cuda:0')
pval: 0.17600001394748688 -- 87th test, time elapsed 5.148680210113525 -- emperical power so far: 0.6551724137931034
tensor(0.0396, device='cuda:0')
pval: 0.18000000715255737 -- 88th test, time elapsed 5.15871262550354 -- emperical power so far: 0.6477272727272727
tensor(0.1177, device='cuda:0')
pval: 0.01900000125169754 -- 89th test, time elapsed 5.154279708862305 -- emperical power so far: 0.651685393258427
tensor(-0.0283, device='cuda:0')
pval: 0.6810000538825989 -- 90th test, time elapsed 5.109020709991455 -- emperical power so far: 0.6444444444444445
tensor(0.1888, device='cuda:0')
pval: 0.007000000216066837 -- 91th test, time elapsed 5.0864787101745605 -- emperical power so far: 0.6483516483516484
tensor(0.1709, device='cuda:0')
pval: 0.014000000432133675 -- 92th test, time elapsed 5.129317045211792 -- emperical power so far: 0.6521739130434783
tensor(0.1412, device='cuda:0')
pval: 0.023000001907348633 -- 93th test, time elapsed 5.141326189041138 -- emperical power so far: 0.6559139784946236
tensor(0.2991, device='cuda:0')
pval: 0.0020000000949949026 -- 94th test, time elapsed 5.175078630447388 -- emperical power so far: 0.6595744680851063
tensor(0.1250, device='cuda:0')
pval: 0.026000000536441803 -- 95th test, time elapsed 5.156268835067749 -- emperical power so far: 0.6631578947368421
tensor(0.0985, device='cuda:0')
pval: 0.04700000211596489 -- 96th test, time elapsed 5.172665357589722 -- emperical power so far: 0.6666666666666666
tensor(0.2436, device='cuda:0')
pval: 0.003000000026077032 -- 97th test, time elapsed 5.154285907745361 -- emperical power so far: 0.6701030927835051
tensor(0.0290, device='cuda:0')
pval: 0.2200000137090683 -- 98th test, time elapsed 5.1239118576049805 -- emperical power so far: 0.6632653061224489
tensor(0.1230, device='cuda:0')
pval: 0.02500000037252903 -- 99th test, time elapsed 5.154443264007568 -- emperical power so far: 0.6666666666666666
tensor(0.3998, device='cuda:0')
pval: 0.0010000000474974513 -- 100th test, time elapsed 5.126694679260254 -- emperical power so far: 0.67
tensor(0.1433, device='cuda:0')
pval: 0.013000000268220901 -- 101th test, time elapsed 5.178473711013794 -- emperical power so far: 0.6732673267326733
tensor(-0.0096, device='cuda:0')
pval: 0.531000018119812 -- 102th test, time elapsed 5.111502408981323 -- emperical power so far: 0.6666666666666666
tensor(0.1463, device='cuda:0')
pval: 0.01600000075995922 -- 103th test, time elapsed 5.10251784324646 -- emperical power so far: 0.6699029126213593
tensor(0.2459, device='cuda:0')
pval: 0.0020000000949949026 -- 104th test, time elapsed 5.139023542404175 -- emperical power so far: 0.6730769230769231
tensor(0.4221, device='cuda:0')
pval: 0.0010000000474974513 -- 105th test, time elapsed 5.276482820510864 -- emperical power so far: 0.6761904761904762
tensor(0.2302, device='cuda:0')
pval: 0.004000000189989805 -- 106th test, time elapsed 5.140751361846924 -- emperical power so far: 0.6792452830188679
tensor(0.0457, device='cuda:0')
pval: 0.13900001347064972 -- 107th test, time elapsed 5.095742225646973 -- emperical power so far: 0.6728971962616822
tensor(0.2798, device='cuda:0')
pval: 0.003000000026077032 -- 108th test, time elapsed 5.119346618652344 -- emperical power so far: 0.6759259259259259
tensor(0.0251, device='cuda:0')
pval: 0.2630000114440918 -- 109th test, time elapsed 5.135307550430298 -- emperical power so far: 0.6697247706422018
tensor(0.1319, device='cuda:0')
pval: 0.018000001087784767 -- 110th test, time elapsed 5.1147472858428955 -- emperical power so far: 0.6727272727272727
tensor(0.1803, device='cuda:0')
pval: 0.004000000189989805 -- 111th test, time elapsed 5.153524160385132 -- emperical power so far: 0.6756756756756757
tensor(0.0878, device='cuda:0')
pval: 0.06599999964237213 -- 112th test, time elapsed 5.167890310287476 -- emperical power so far: 0.6696428571428571
tensor(0.2293, device='cuda:0')
pval: 0.0010000000474974513 -- 113th test, time elapsed 5.13303017616272 -- emperical power so far: 0.672566371681416
tensor(0.2472, device='cuda:0')
pval: 0.0020000000949949026 -- 114th test, time elapsed 5.111749649047852 -- emperical power so far: 0.6754385964912281
tensor(0.3604, device='cuda:0')
pval: 0.0010000000474974513 -- 115th test, time elapsed 5.1720380783081055 -- emperical power so far: 0.6782608695652174
tensor(0.1105, device='cuda:0')
pval: 0.03400000184774399 -- 116th test, time elapsed 5.11442756652832 -- emperical power so far: 0.6810344827586207
tensor(0.2273, device='cuda:0')
pval: 0.0020000000949949026 -- 117th test, time elapsed 5.123594760894775 -- emperical power so far: 0.6837606837606838
tensor(0.0637, device='cuda:0')
pval: 0.09000000357627869 -- 118th test, time elapsed 5.162173271179199 -- emperical power so far: 0.6779661016949152
tensor(0.1444, device='cuda:0')
pval: 0.015000000596046448 -- 119th test, time elapsed 5.153520584106445 -- emperical power so far: 0.680672268907563
tensor(0.3766, device='cuda:0')
pval: 0.0010000000474974513 -- 120th test, time elapsed 5.166409969329834 -- emperical power so far: 0.6833333333333333
tensor(0.1769, device='cuda:0')
pval: 0.010000000707805157 -- 121th test, time elapsed 5.118950366973877 -- emperical power so far: 0.6859504132231405
tensor(0.2002, device='cuda:0')
pval: 0.005000000353902578 -- 122th test, time elapsed 5.128852605819702 -- emperical power so far: 0.6885245901639344
tensor(0.0996, device='cuda:0')
pval: 0.052000001072883606 -- 123th test, time elapsed 5.168100595474243 -- emperical power so far: 0.6829268292682927
tensor(0.1030, device='cuda:0')
pval: 0.036000002175569534 -- 124th test, time elapsed 5.150599241256714 -- emperical power so far: 0.6854838709677419
tensor(0.5482, device='cuda:0')
pval: 0.0010000000474974513 -- 125th test, time elapsed 5.107005596160889 -- emperical power so far: 0.688
tensor(0.2514, device='cuda:0')
pval: 0.0020000000949949026 -- 126th test, time elapsed 5.115676403045654 -- emperical power so far: 0.6904761904761905
tensor(0.2460, device='cuda:0')
pval: 0.0010000000474974513 -- 127th test, time elapsed 5.1592206954956055 -- emperical power so far: 0.6929133858267716
tensor(0.1995, device='cuda:0')
pval: 0.005000000353902578 -- 128th test, time elapsed 5.093317031860352 -- emperical power so far: 0.6953125
tensor(0.0742, device='cuda:0')
pval: 0.07800000160932541 -- 129th test, time elapsed 5.114934921264648 -- emperical power so far: 0.689922480620155
tensor(0.2654, device='cuda:0')
pval: 0.0010000000474974513 -- 130th test, time elapsed 5.165891885757446 -- emperical power so far: 0.6923076923076923
tensor(0.1857, device='cuda:0')
pval: 0.005000000353902578 -- 131th test, time elapsed 5.173571825027466 -- emperical power so far: 0.6946564885496184
tensor(0.1709, device='cuda:0')
pval: 0.007000000216066837 -- 132th test, time elapsed 5.208482503890991 -- emperical power so far: 0.696969696969697
tensor(0.3237, device='cuda:0')
pval: 0.0010000000474974513 -- 133th test, time elapsed 5.125839948654175 -- emperical power so far: 0.6992481203007519
tensor(0.1550, device='cuda:0')
pval: 0.013000000268220901 -- 134th test, time elapsed 5.158002138137817 -- emperical power so far: 0.7014925373134329
tensor(0.1848, device='cuda:0')
pval: 0.00800000037997961 -- 135th test, time elapsed 5.15788197517395 -- emperical power so far: 0.7037037037037037
tensor(0.0213, device='cuda:0')
pval: 0.26100000739097595 -- 136th test, time elapsed 5.128019094467163 -- emperical power so far: 0.6985294117647058
tensor(0.1328, device='cuda:0')
pval: 0.013000000268220901 -- 137th test, time elapsed 5.159309148788452 -- emperical power so far: 0.7007299270072993
tensor(0.0157, device='cuda:0')
pval: 0.2980000078678131 -- 138th test, time elapsed 5.148514032363892 -- emperical power so far: 0.6956521739130435
tensor(0.2605, device='cuda:0')
pval: 0.003000000026077032 -- 139th test, time elapsed 5.168416261672974 -- emperical power so far: 0.697841726618705
tensor(0.0735, device='cuda:0')
pval: 0.09800000488758087 -- 140th test, time elapsed 5.210047245025635 -- emperical power so far: 0.6928571428571428
tensor(0.1205, device='cuda:0')
pval: 0.023000001907348633 -- 141th test, time elapsed 5.130822658538818 -- emperical power so far: 0.6950354609929078
tensor(0.0217, device='cuda:0')
pval: 0.2550000250339508 -- 142th test, time elapsed 5.0517754554748535 -- emperical power so far: 0.6901408450704225
tensor(0.2179, device='cuda:0')
pval: 0.004000000189989805 -- 143th test, time elapsed 5.156870365142822 -- emperical power so far: 0.6923076923076923
tensor(0.1481, device='cuda:0')
pval: 0.01600000075995922 -- 144th test, time elapsed 5.248615741729736 -- emperical power so far: 0.6944444444444444
tensor(0.1072, device='cuda:0')
pval: 0.036000002175569534 -- 145th test, time elapsed 5.30748987197876 -- emperical power so far: 0.696551724137931
tensor(0.1331, device='cuda:0')
pval: 0.020000001415610313 -- 146th test, time elapsed 5.240224123001099 -- emperical power so far: 0.6986301369863014
tensor(0.1120, device='cuda:0')
pval: 0.02800000086426735 -- 147th test, time elapsed 5.207998514175415 -- emperical power so far: 0.7006802721088435
tensor(-0.0461, device='cuda:0')
pval: 0.8540000319480896 -- 148th test, time elapsed 5.2663023471832275 -- emperical power so far: 0.6959459459459459
tensor(0.0871, device='cuda:0')
pval: 0.04800000041723251 -- 149th test, time elapsed 5.255610466003418 -- emperical power so far: 0.697986577181208
tensor(0.1545, device='cuda:0')
pval: 0.013000000268220901 -- 150th test, time elapsed 5.2562525272369385 -- emperical power so far: 0.7
tensor(0.4060, device='cuda:0')
pval: 0.0010000000474974513 -- 151th test, time elapsed 5.181150436401367 -- emperical power so far: 0.7019867549668874
tensor(0.2268, device='cuda:0')
pval: 0.003000000026077032 -- 152th test, time elapsed 5.243440628051758 -- emperical power so far: 0.7039473684210527
tensor(0.1850, device='cuda:0')
pval: 0.006000000052154064 -- 153th test, time elapsed 5.190382242202759 -- emperical power so far: 0.7058823529411765
tensor(0.3135, device='cuda:0')
pval: 0.0010000000474974513 -- 154th test, time elapsed 5.165294408798218 -- emperical power so far: 0.7077922077922078
tensor(0.2252, device='cuda:0')
pval: 0.0020000000949949026 -- 155th test, time elapsed 5.250912189483643 -- emperical power so far: 0.7096774193548387
tensor(0.2805, device='cuda:0')
pval: 0.0020000000949949026 -- 156th test, time elapsed 5.149024963378906 -- emperical power so far: 0.7115384615384616
tensor(0.0486, device='cuda:0')
pval: 0.13700000941753387 -- 157th test, time elapsed 5.2469587326049805 -- emperical power so far: 0.7070063694267515
tensor(0.1898, device='cuda:0')
pval: 0.01100000087171793 -- 158th test, time elapsed 5.22378134727478 -- emperical power so far: 0.7088607594936709
tensor(0.0977, device='cuda:0')
pval: 0.046000003814697266 -- 159th test, time elapsed 5.144611120223999 -- emperical power so far: 0.710691823899371
tensor(0.1126, device='cuda:0')
pval: 0.03800000250339508 -- 160th test, time elapsed 5.151748180389404 -- emperical power so far: 0.7125
tensor(0.2544, device='cuda:0')
pval: 0.003000000026077032 -- 161th test, time elapsed 5.038374185562134 -- emperical power so far: 0.7142857142857143
tensor(0.1413, device='cuda:0')
pval: 0.018000001087784767 -- 162th test, time elapsed 4.963156461715698 -- emperical power so far: 0.7160493827160493
tensor(0.2326, device='cuda:0')
pval: 0.0020000000949949026 -- 163th test, time elapsed 4.996477842330933 -- emperical power so far: 0.7177914110429447
tensor(-0.0079, device='cuda:0')
pval: 0.4610000252723694 -- 164th test, time elapsed 5.014454364776611 -- emperical power so far: 0.7134146341463414
tensor(0.0331, device='cuda:0')
pval: 0.20500001311302185 -- 165th test, time elapsed 5.078998565673828 -- emperical power so far: 0.7090909090909091
tensor(0.1042, device='cuda:0')
pval: 0.0430000014603138 -- 166th test, time elapsed 5.175809144973755 -- emperical power so far: 0.7108433734939759
tensor(0.1576, device='cuda:0')
pval: 0.010000000707805157 -- 167th test, time elapsed 5.088734865188599 -- emperical power so far: 0.7125748502994012
tensor(0.0985, device='cuda:0')
pval: 0.055000003427267075 -- 168th test, time elapsed 5.067704677581787 -- emperical power so far: 0.7083333333333334
tensor(0.0318, device='cuda:0')
pval: 0.1980000138282776 -- 169th test, time elapsed 5.060406684875488 -- emperical power so far: 0.7041420118343196
tensor(0.1587, device='cuda:0')
pval: 0.015000000596046448 -- 170th test, time elapsed 5.157609462738037 -- emperical power so far: 0.7058823529411765
tensor(0.1523, device='cuda:0')
pval: 0.010000000707805157 -- 171th test, time elapsed 5.1692423820495605 -- emperical power so far: 0.7076023391812866
tensor(0.1471, device='cuda:0')
pval: 0.01100000087171793 -- 172th test, time elapsed 5.054776430130005 -- emperical power so far: 0.7093023255813954
tensor(0.2226, device='cuda:0')
pval: 0.0020000000949949026 -- 173th test, time elapsed 5.0310962200164795 -- emperical power so far: 0.7109826589595376
tensor(0.1638, device='cuda:0')
pval: 0.009000000543892384 -- 174th test, time elapsed 5.032533884048462 -- emperical power so far: 0.7126436781609196
tensor(0.1165, device='cuda:0')
pval: 0.020000001415610313 -- 175th test, time elapsed 5.089886665344238 -- emperical power so far: 0.7142857142857143
tensor(0.1366, device='cuda:0')
pval: 0.020000001415610313 -- 176th test, time elapsed 5.074508428573608 -- emperical power so far: 0.7159090909090909
tensor(0.0713, device='cuda:0')
pval: 0.08000000566244125 -- 177th test, time elapsed 5.066949129104614 -- emperical power so far: 0.711864406779661
tensor(0.0533, device='cuda:0')
pval: 0.1380000114440918 -- 178th test, time elapsed 5.09084153175354 -- emperical power so far: 0.7078651685393258
tensor(0.1824, device='cuda:0')
pval: 0.005000000353902578 -- 179th test, time elapsed 5.059346437454224 -- emperical power so far: 0.7094972067039106
tensor(0.1909, device='cuda:0')
pval: 0.006000000052154064 -- 180th test, time elapsed 5.112393379211426 -- emperical power so far: 0.7111111111111111
tensor(0.1105, device='cuda:0')
pval: 0.036000002175569534 -- 181th test, time elapsed 5.118790149688721 -- emperical power so far: 0.712707182320442
tensor(0.3370, device='cuda:0')
pval: 0.0010000000474974513 -- 182th test, time elapsed 5.011395692825317 -- emperical power so far: 0.7142857142857143
tensor(0.2792, device='cuda:0')
pval: 0.0020000000949949026 -- 183th test, time elapsed 4.987166404724121 -- emperical power so far: 0.7158469945355191
tensor(0.2465, device='cuda:0')
pval: 0.003000000026077032 -- 184th test, time elapsed 4.989191055297852 -- emperical power so far: 0.717391304347826
tensor(0.1699, device='cuda:0')
pval: 0.006000000052154064 -- 185th test, time elapsed 4.983293533325195 -- emperical power so far: 0.7189189189189189
tensor(0.4428, device='cuda:0')
pval: 0.0010000000474974513 -- 186th test, time elapsed 5.121228218078613 -- emperical power so far: 0.7204301075268817
tensor(0.0800, device='cuda:0')
slurmstepd-gpu-compute: error: *** JOB 6867 ON gpu-compute CANCELLED AT 2024-02-01T15:04:05 ***
