cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor(16.4485, device='cuda:1')
pval: 0.003000000026077032 -- 91th test, time elapsed 6.058656215667725 -- emperical power so far: 0.989010989010989
tensor(25.0303, device='cuda:1')
pval: 0.0010000000474974513 -- 92th test, time elapsed 6.021223783493042 -- emperical power so far: 0.9891304347826086
tensor(15.4962, device='cuda:1')
pval: 0.004000000189989805 -- 93th test, time elapsed 5.96964430809021 -- emperical power so far: 0.989247311827957
tensor(41.3348, device='cuda:1')
pval: 0.0010000000474974513 -- 94th test, time elapsed 4.641660213470459 -- emperical power so far: 0.9893617021276596
tensor(12.4529, device='cuda:1')
pval: 0.00800000037997961 -- 95th test, time elapsed 6.15776252746582 -- emperical power so far: 0.9894736842105263
tensor(15.1440, device='cuda:1')
pval: 0.004000000189989805 -- 96th test, time elapsed 6.144248723983765 -- emperical power so far: 0.9895833333333334
tensor(47.0211, device='cuda:1')
pval: 0.0010000000474974513 -- 97th test, time elapsed 5.1753089427948 -- emperical power so far: 0.9896907216494846
tensor(13.1737, device='cuda:1')
pval: 0.004000000189989805 -- 98th test, time elapsed 6.090163707733154 -- emperical power so far: 0.9897959183673469
tensor(20.6426, device='cuda:1')
pval: 0.0010000000474974513 -- 99th test, time elapsed 5.782065391540527 -- emperical power so far: 0.98989898989899
tensor(36.9137, device='cuda:1')
pval: 0.0010000000474974513 -- 100th test, time elapsed 5.743273735046387 -- emperical power so far: 0.99
tensor(24.4352, device='cuda:1')
pval: 0.0010000000474974513 -- 101th test, time elapsed 5.669071197509766 -- emperical power so far: 0.9900990099009901
tensor(21.5461, device='cuda:1')
pval: 0.0010000000474974513 -- 102th test, time elapsed 5.668391466140747 -- emperical power so far: 0.9901960784313726
tensor(17.1902, device='cuda:1')
pval: 0.0010000000474974513 -- 103th test, time elapsed 5.076469659805298 -- emperical power so far: 0.9902912621359223
tensor(28.9090, device='cuda:1')
pval: 0.0010000000474974513 -- 104th test, time elapsed 4.510300874710083 -- emperical power so far: 0.9903846153846154
tensor(14.3974, device='cuda:1')
pval: 0.003000000026077032 -- 105th test, time elapsed 4.512044191360474 -- emperical power so far: 0.9904761904761905
tensor(31.3128, device='cuda:1')
pval: 0.0010000000474974513 -- 106th test, time elapsed 4.516729831695557 -- emperical power so far: 0.9905660377358491
tensor(24.7161, device='cuda:1')
pval: 0.0010000000474974513 -- 107th test, time elapsed 4.481565952301025 -- emperical power so far: 0.9906542056074766
tensor(39.8685, device='cuda:1')
pval: 0.0010000000474974513 -- 108th test, time elapsed 4.479784250259399 -- emperical power so far: 0.9907407407407407
tensor(19.7260, device='cuda:1')
pval: 0.0010000000474974513 -- 109th test, time elapsed 5.836573123931885 -- emperical power so far: 0.9908256880733946
tensor(26.1534, device='cuda:1')
pval: 0.0010000000474974513 -- 110th test, time elapsed 4.626762390136719 -- emperical power so far: 0.990909090909091
tensor(43.3813, device='cuda:1')
pval: 0.0010000000474974513 -- 111th test, time elapsed 4.557916164398193 -- emperical power so far: 0.990990990990991
tensor(18.6056, device='cuda:1')
pval: 0.0020000000949949026 -- 112th test, time elapsed 4.562626600265503 -- emperical power so far: 0.9910714285714286
tensor(19.5776, device='cuda:1')
pval: 0.003000000026077032 -- 113th test, time elapsed 5.016401290893555 -- emperical power so far: 0.9911504424778761
tensor(15.5973, device='cuda:1')
pval: 0.0010000000474974513 -- 114th test, time elapsed 4.554231643676758 -- emperical power so far: 0.9912280701754386
tensor(20.8656, device='cuda:1')
pval: 0.0010000000474974513 -- 115th test, time elapsed 5.793535947799683 -- emperical power so far: 0.991304347826087
tensor(31.0478, device='cuda:1')
pval: 0.0010000000474974513 -- 116th test, time elapsed 4.971729516983032 -- emperical power so far: 0.9913793103448276
tensor(14.8732, device='cuda:1')
pval: 0.005000000353902578 -- 117th test, time elapsed 5.827130556106567 -- emperical power so far: 0.9914529914529915
tensor(18.3683, device='cuda:1')
pval: 0.0010000000474974513 -- 118th test, time elapsed 5.704827785491943 -- emperical power so far: 0.9915254237288136
tensor(26.9452, device='cuda:1')
pval: 0.0010000000474974513 -- 119th test, time elapsed 5.657439708709717 -- emperical power so far: 0.9915966386554622
tensor(19.9622, device='cuda:1')
pval: 0.0010000000474974513 -- 120th test, time elapsed 5.717635631561279 -- emperical power so far: 0.9916666666666667
tensor(18.8631, device='cuda:1')
pval: 0.0020000000949949026 -- 121th test, time elapsed 5.764719486236572 -- emperical power so far: 0.9917355371900827
tensor(18.0327, device='cuda:1')
pval: 0.0010000000474974513 -- 122th test, time elapsed 5.756250619888306 -- emperical power so far: 0.9918032786885246
tensor(21.3088, device='cuda:1')
pval: 0.0010000000474974513 -- 123th test, time elapsed 4.582611799240112 -- emperical power so far: 0.991869918699187
tensor(14.7340, device='cuda:1')
pval: 0.003000000026077032 -- 124th test, time elapsed 4.536835670471191 -- emperical power so far: 0.9919354838709677
tensor(23.2264, device='cuda:1')
pval: 0.0020000000949949026 -- 125th test, time elapsed 4.5210630893707275 -- emperical power so far: 0.992
tensor(28.5195, device='cuda:1')
pval: 0.0010000000474974513 -- 126th test, time elapsed 4.486031770706177 -- emperical power so far: 0.9920634920634921
tensor(26.9494, device='cuda:1')
