cuda:1
lapu_ell2
privacy level = 0.5
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.5370000004768372 -- 108th test, time elapsed 2.2111523151397705 -- emperical power so far: 0.12962962962962962
tensor(1.4306, device='cuda:1')
pval: 0.04800000041723251 -- 109th test, time elapsed 2.182178258895874 -- emperical power so far: 0.13761467889908258
tensor(-0.8853, device='cuda:1')
pval: 0.971000075340271 -- 110th test, time elapsed 2.235121011734009 -- emperical power so far: 0.13636363636363635
tensor(1.4476, device='cuda:1')
pval: 0.05900000408291817 -- 111th test, time elapsed 2.2636489868164062 -- emperical power so far: 0.13513513513513514
tensor(-0.7486, device='cuda:1')
pval: 0.8940000534057617 -- 112th test, time elapsed 2.2248175144195557 -- emperical power so far: 0.13392857142857142
tensor(-0.0150, device='cuda:1')
pval: 0.4130000174045563 -- 113th test, time elapsed 2.1896727085113525 -- emperical power so far: 0.13274336283185842
tensor(-0.8486, device='cuda:1')
pval: 0.9470000267028809 -- 114th test, time elapsed 2.209686756134033 -- emperical power so far: 0.13157894736842105
tensor(-0.2053, device='cuda:1')
pval: 0.5190000534057617 -- 115th test, time elapsed 2.2276363372802734 -- emperical power so far: 0.13043478260869565
tensor(-0.1434, device='cuda:1')
pval: 0.48600003123283386 -- 116th test, time elapsed 2.213285207748413 -- emperical power so far: 0.12931034482758622
tensor(-0.7295, device='cuda:1')
pval: 0.8920000195503235 -- 117th test, time elapsed 2.1562633514404297 -- emperical power so far: 0.1282051282051282
tensor(1.3800, device='cuda:1')
pval: 0.05900000408291817 -- 118th test, time elapsed 2.224334716796875 -- emperical power so far: 0.1271186440677966
tensor(-0.1066, device='cuda:1')
pval: 0.47600001096725464 -- 119th test, time elapsed 2.1852500438690186 -- emperical power so far: 0.12605042016806722
tensor(-0.3668, device='cuda:1')
pval: 0.6430000066757202 -- 120th test, time elapsed 2.211789608001709 -- emperical power so far: 0.125
tensor(-0.3873, device='cuda:1')
pval: 0.6490000486373901 -- 121th test, time elapsed 2.217034339904785 -- emperical power so far: 0.12396694214876033
tensor(-0.1999, device='cuda:1')
pval: 0.5570000410079956 -- 122th test, time elapsed 2.187682867050171 -- emperical power so far: 0.12295081967213115
tensor(1.7866, device='cuda:1')
pval: 0.029000001028180122 -- 123th test, time elapsed 2.1942031383514404 -- emperical power so far: 0.13008130081300814
tensor(-0.5256, device='cuda:1')
pval: 0.7460000514984131 -- 124th test, time elapsed 2.241921901702881 -- emperical power so far: 0.12903225806451613
tensor(-0.5774, device='cuda:1')
pval: 0.7740000486373901 -- 125th test, time elapsed 2.1984241008758545 -- emperical power so far: 0.128
tensor(0.5046, device='cuda:1')
pval: 0.19300000369548798 -- 126th test, time elapsed 2.195993423461914 -- emperical power so far: 0.12698412698412698
tensor(-0.4099, device='cuda:1')
pval: 0.6660000085830688 -- 127th test, time elapsed 2.230588436126709 -- emperical power so far: 0.12598425196850394
tensor(0.4245, device='cuda:1')
pval: 0.2110000103712082 -- 128th test, time elapsed 2.2003824710845947 -- emperical power so far: 0.125
tensor(-0.9088, device='cuda:1')
pval: 0.9850000739097595 -- 129th test, time elapsed 2.2288761138916016 -- emperical power so far: 0.12403100775193798
tensor(-0.6366, device='cuda:1')
pval: 0.8080000281333923 -- 130th test, time elapsed 2.238555908203125 -- emperical power so far: 0.12307692307692308
tensor(-0.4662, device='cuda:1')
pval: 0.6670000553131104 -- 131th test, time elapsed 2.1917600631713867 -- emperical power so far: 0.12213740458015267
tensor(0.0274, device='cuda:1')
pval: 0.39400002360343933 -- 132th test, time elapsed 2.195194959640503 -- emperical power so far: 0.12121212121212122
tensor(0.7528, device='cuda:1')
pval: 0.1380000114440918 -- 133th test, time elapsed 2.223196029663086 -- emperical power so far: 0.12030075187969924
tensor(0.1905, device='cuda:1')
pval: 0.31300002336502075 -- 134th test, time elapsed 2.2373321056365967 -- emperical power so far: 0.11940298507462686
tensor(-0.2875, device='cuda:1')
pval: 0.5670000314712524 -- 135th test, time elapsed 2.228989601135254 -- emperical power so far: 0.11851851851851852
tensor(-0.0939, device='cuda:1')
pval: 0.4540000259876251 -- 136th test, time elapsed 2.221144437789917 -- emperical power so far: 0.11764705882352941
tensor(0.5135, device='cuda:1')
pval: 0.1810000091791153 -- 137th test, time elapsed 2.2330689430236816 -- emperical power so far: 0.11678832116788321
tensor(0.2203, device='cuda:1')
pval: 0.30900001525878906 -- 138th test, time elapsed 2.2643938064575195 -- emperical power so far: 0.11594202898550725
tensor(0.0596, device='cuda:1')
pval: 0.38200002908706665 -- 139th test, time elapsed 2.204059600830078 -- emperical power so far: 0.11510791366906475
tensor(0.2972, device='cuda:1')
pval: 0.27300000190734863 -- 140th test, time elapsed 2.2064602375030518 -- emperical power so far: 0.11428571428571428
tensor(0.2631, device='cuda:1')
pval: 0.2900000214576721 -- 141th test, time elapsed 2.2289388179779053 -- emperical power so far: 0.11347517730496454
tensor(-0.6853, device='cuda:1')
pval: 0.8600000143051147 -- 142th test, time elapsed 2.2040321826934814 -- emperical power so far: 0.11267605633802817
tensor(3.1580, device='cuda:1')
pval: 0.0020000000949949026 -- 143th test, time elapsed 2.22701096534729 -- emperical power so far: 0.11888111888111888
tensor(0.5479, device='cuda:1')
pval: 0.1990000158548355 -- 144th test, time elapsed 2.2289834022521973 -- emperical power so far: 0.11805555555555555
tensor(-0.5753, device='cuda:1')
pval: 0.7610000371932983 -- 145th test, time elapsed 2.229689598083496 -- emperical power so far: 0.11724137931034483
tensor(-0.2863, device='cuda:1')
pval: 0.5680000185966492 -- 146th test, time elapsed 2.2282493114471436 -- emperical power so far: 0.11643835616438356
tensor(-0.2919, device='cuda:1')
pval: 0.5690000057220459 -- 147th test, time elapsed 2.229166269302368 -- emperical power so far: 0.11564625850340136
tensor(0.0948, device='cuda:1')
pval: 0.3750000298023224 -- 148th test, time elapsed 2.219322919845581 -- emperical power so far: 0.11486486486486487
tensor(-0.9057, device='cuda:1')
pval: 0.9740000367164612 -- 149th test, time elapsed 2.223156213760376 -- emperical power so far: 0.11409395973154363
tensor(-0.6755, device='cuda:1')
pval: 0.8660000562667847 -- 150th test, time elapsed 2.2373921871185303 -- emperical power so far: 0.11333333333333333
tensor(-0.6572, device='cuda:1')
pval: 0.8640000224113464 -- 151th test, time elapsed 2.2762551307678223 -- emperical power so far: 0.11258278145695365
tensor(-0.0524, device='cuda:1')
pval: 0.43400001525878906 -- 152th test, time elapsed 2.1262404918670654 -- emperical power so far: 0.1118421052631579
tensor(-0.0170, device='cuda:1')
pval: 0.3890000283718109 -- 153th test, time elapsed 2.160600185394287 -- emperical power so far: 0.1111111111111111
tensor(-0.0026, device='cuda:1')
pval: 0.42000001668930054 -- 154th test, time elapsed 2.130161762237549 -- emperical power so far: 0.11038961038961038
tensor(2.0748, device='cuda:1')
pval: 0.014000000432133675 -- 155th test, time elapsed 2.160736083984375 -- emperical power so far: 0.11612903225806452
tensor(-0.4589, device='cuda:1')
pval: 0.7150000333786011 -- 156th test, time elapsed 2.1428396701812744 -- emperical power so far: 0.11538461538461539
tensor(-0.3539, device='cuda:1')
pval: 0.6440000534057617 -- 157th test, time elapsed 2.1318600177764893 -- emperical power so far: 0.11464968152866242
tensor(2.4398, device='cuda:1')
pval: 0.009000000543892384 -- 158th test, time elapsed 2.1335625648498535 -- emperical power so far: 0.12025316455696203
tensor(2.4862, device='cuda:1')
pval: 0.01100000087171793 -- 159th test, time elapsed 2.131481170654297 -- emperical power so far: 0.12578616352201258
tensor(-0.1748, device='cuda:1')
pval: 0.4880000352859497 -- 160th test, time elapsed 2.149120330810547 -- emperical power so far: 0.125
tensor(1.9431, device='cuda:1')
pval: 0.015000000596046448 -- 161th test, time elapsed 2.1233370304107666 -- emperical power so far: 0.13043478260869565
tensor(-0.6142, device='cuda:1')
pval: 0.7930000424385071 -- 162th test, time elapsed 2.205199956893921 -- emperical power so far: 0.12962962962962962
tensor(-0.5388, device='cuda:1')
pval: 0.7430000305175781 -- 163th test, time elapsed 2.117281198501587 -- emperical power so far: 0.12883435582822086
tensor(1.3509, device='cuda:1')
pval: 0.05100000277161598 -- 164th test, time elapsed 2.1427414417266846 -- emperical power so far: 0.12804878048780488
tensor(0.1553, device='cuda:1')
