cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.6030000448226929 -- 68th test, time elapsed 2.0992159843444824 -- emperical power so far: 0.45588235294117646
tensor(0.1042, device='cuda:1')
pval: 0.0430000014603138 -- 69th test, time elapsed 2.1233577728271484 -- emperical power so far: 0.463768115942029
tensor(0.1079, device='cuda:1')
pval: 0.03400000184774399 -- 70th test, time elapsed 2.11755633354187 -- emperical power so far: 0.4714285714285714
tensor(0.0021, device='cuda:1')
pval: 0.3620000183582306 -- 71th test, time elapsed 2.0810129642486572 -- emperical power so far: 0.4647887323943662
tensor(0.0360, device='cuda:1')
pval: 0.19600000977516174 -- 72th test, time elapsed 2.114025115966797 -- emperical power so far: 0.4583333333333333
tensor(0.3033, device='cuda:1')
pval: 0.0010000000474974513 -- 73th test, time elapsed 2.1110451221466064 -- emperical power so far: 0.4657534246575342
tensor(0.1417, device='cuda:1')
pval: 0.026000000536441803 -- 74th test, time elapsed 2.089885950088501 -- emperical power so far: 0.47297297297297297
tensor(0.1249, device='cuda:1')
pval: 0.026000000536441803 -- 75th test, time elapsed 2.133373737335205 -- emperical power so far: 0.48
tensor(0.0328, device='cuda:1')
pval: 0.1940000057220459 -- 76th test, time elapsed 2.1354150772094727 -- emperical power so far: 0.47368421052631576
tensor(0.2131, device='cuda:1')
pval: 0.003000000026077032 -- 77th test, time elapsed 2.0895121097564697 -- emperical power so far: 0.4805194805194805
tensor(-0.0069, device='cuda:1')
pval: 0.453000009059906 -- 78th test, time elapsed 2.1245951652526855 -- emperical power so far: 0.47435897435897434
tensor(-0.0245, device='cuda:1')
pval: 0.6160000562667847 -- 79th test, time elapsed 2.1095848083496094 -- emperical power so far: 0.46835443037974683
tensor(0.0053, device='cuda:1')
pval: 0.36000001430511475 -- 80th test, time elapsed 2.132547378540039 -- emperical power so far: 0.4625
tensor(0.1855, device='cuda:1')
pval: 0.006000000052154064 -- 81th test, time elapsed 2.1640214920043945 -- emperical power so far: 0.4691358024691358
tensor(0.0937, device='cuda:1')
pval: 0.0560000017285347 -- 82th test, time elapsed 2.095517873764038 -- emperical power so far: 0.4634146341463415
tensor(-0.0390, device='cuda:1')
pval: 0.7890000343322754 -- 83th test, time elapsed 2.079464912414551 -- emperical power so far: 0.4578313253012048
tensor(0.0374, device='cuda:1')
pval: 0.20500001311302185 -- 84th test, time elapsed 2.0894477367401123 -- emperical power so far: 0.4523809523809524
tensor(0.1946, device='cuda:1')
pval: 0.006000000052154064 -- 85th test, time elapsed 2.132564067840576 -- emperical power so far: 0.4588235294117647
tensor(-0.0074, device='cuda:1')
pval: 0.46400001645088196 -- 86th test, time elapsed 2.0954062938690186 -- emperical power so far: 0.45348837209302323
tensor(0.0176, device='cuda:1')
pval: 0.27900001406669617 -- 87th test, time elapsed 2.1303200721740723 -- emperical power so far: 0.4482758620689655
tensor(0.1911, device='cuda:1')
pval: 0.006000000052154064 -- 88th test, time elapsed 2.0698108673095703 -- emperical power so far: 0.45454545454545453
tensor(0.0465, device='cuda:1')
pval: 0.14400000870227814 -- 89th test, time elapsed 2.1057817935943604 -- emperical power so far: 0.449438202247191
tensor(0.0491, device='cuda:1')
pval: 0.16600000858306885 -- 90th test, time elapsed 2.088632345199585 -- emperical power so far: 0.4444444444444444
tensor(0.1326, device='cuda:1')
pval: 0.017000000923871994 -- 91th test, time elapsed 2.0835161209106445 -- emperical power so far: 0.45054945054945056
tensor(0.1563, device='cuda:1')
pval: 0.01600000075995922 -- 92th test, time elapsed 2.094265937805176 -- emperical power so far: 0.45652173913043476
tensor(0.1003, device='cuda:1')
pval: 0.05300000309944153 -- 93th test, time elapsed 2.0767807960510254 -- emperical power so far: 0.45161290322580644
tensor(-0.0307, device='cuda:1')
pval: 0.6540000438690186 -- 94th test, time elapsed 2.105701208114624 -- emperical power so far: 0.44680851063829785
tensor(0.1488, device='cuda:1')
pval: 0.00800000037997961 -- 95th test, time elapsed 2.1184518337249756 -- emperical power so far: 0.45263157894736844
tensor(0.0849, device='cuda:1')
pval: 0.0650000050663948 -- 96th test, time elapsed 2.1349127292633057 -- emperical power so far: 0.4479166666666667
tensor(0.1185, device='cuda:1')
pval: 0.03100000135600567 -- 97th test, time elapsed 2.1726536750793457 -- emperical power so far: 0.4536082474226804
tensor(0.0076, device='cuda:1')
pval: 0.3530000150203705 -- 98th test, time elapsed 2.102386951446533 -- emperical power so far: 0.4489795918367347
tensor(0.2210, device='cuda:1')
pval: 0.005000000353902578 -- 99th test, time elapsed 2.090505599975586 -- emperical power so far: 0.45454545454545453
tensor(0.1591, device='cuda:1')
pval: 0.020000001415610313 -- 100th test, time elapsed 2.1201441287994385 -- emperical power so far: 0.46
tensor(0.0541, device='cuda:1')
pval: 0.164000004529953 -- 101th test, time elapsed 2.108992576599121 -- emperical power so far: 0.45544554455445546
tensor(0.2166, device='cuda:1')
pval: 0.0010000000474974513 -- 102th test, time elapsed 2.1040968894958496 -- emperical power so far: 0.46078431372549017
tensor(0.3011, device='cuda:1')
pval: 0.0010000000474974513 -- 103th test, time elapsed 2.0890724658966064 -- emperical power so far: 0.46601941747572817
tensor(0.0399, device='cuda:1')
pval: 0.16600000858306885 -- 104th test, time elapsed 2.108823537826538 -- emperical power so far: 0.46153846153846156
tensor(-0.0557, device='cuda:1')
pval: 0.9540000557899475 -- 105th test, time elapsed 2.0953211784362793 -- emperical power so far: 0.45714285714285713
tensor(0.1877, device='cuda:1')
pval: 0.005000000353902578 -- 106th test, time elapsed 2.104001045227051 -- emperical power so far: 0.46226415094339623
tensor(0.1209, device='cuda:1')
pval: 0.029000001028180122 -- 107th test, time elapsed 2.085537910461426 -- emperical power so far: 0.4672897196261682
tensor(0.1187, device='cuda:1')
pval: 0.026000000536441803 -- 108th test, time elapsed 2.0836470127105713 -- emperical power so far: 0.4722222222222222
tensor(0.2069, device='cuda:1')
pval: 0.0020000000949949026 -- 109th test, time elapsed 2.127629518508911 -- emperical power so far: 0.47706422018348627
tensor(0.0167, device='cuda:1')
pval: 0.29500001668930054 -- 110th test, time elapsed 2.1053712368011475 -- emperical power so far: 0.4727272727272727
tensor(0.0207, device='cuda:1')
pval: 0.27300000190734863 -- 111th test, time elapsed 2.0907022953033447 -- emperical power so far: 0.46846846846846846
tensor(0.0115, device='cuda:1')
pval: 0.328000009059906 -- 112th test, time elapsed 2.113069534301758 -- emperical power so far: 0.4642857142857143
tensor(0.0161, device='cuda:1')
pval: 0.30800002813339233 -- 113th test, time elapsed 2.1353323459625244 -- emperical power so far: 0.46017699115044247
tensor(0.0567, device='cuda:1')
pval: 0.1210000067949295 -- 114th test, time elapsed 2.120763063430786 -- emperical power so far: 0.45614035087719296
tensor(0.1583, device='cuda:1')
pval: 0.012000000104308128 -- 115th test, time elapsed 2.1079258918762207 -- emperical power so far: 0.4608695652173913
tensor(0.1142, device='cuda:1')
pval: 0.029000001028180122 -- 116th test, time elapsed 2.0894758701324463 -- emperical power so far: 0.46551724137931033
tensor(0.0485, device='cuda:1')
pval: 0.13100001215934753 -- 117th test, time elapsed 2.1017954349517822 -- emperical power so far: 0.46153846153846156
tensor(0.2296, device='cuda:1')
pval: 0.007000000216066837 -- 118th test, time elapsed 2.134860038757324 -- emperical power so far: 0.4661016949152542
tensor(0.0348, device='cuda:1')
pval: 0.2070000171661377 -- 119th test, time elapsed 2.1054394245147705 -- emperical power so far: 0.46218487394957986
tensor(0.0538, device='cuda:1')
pval: 0.1420000046491623 -- 120th test, time elapsed 2.0882644653320312 -- emperical power so far: 0.4583333333333333
tensor(0.0893, device='cuda:1')
pval: 0.06000000238418579 -- 121th test, time elapsed 2.1163907051086426 -- emperical power so far: 0.45454545454545453
tensor(-0.0431, device='cuda:1')
pval: 0.8470000624656677 -- 122th test, time elapsed 2.072516441345215 -- emperical power so far: 0.45081967213114754
tensor(0.2455, device='cuda:1')
pval: 0.003000000026077032 -- 123th test, time elapsed 2.1326022148132324 -- emperical power so far: 0.45528455284552843
tensor(0.0306, device='cuda:1')
pval: 0.2120000123977661 -- 124th test, time elapsed 2.162266731262207 -- emperical power so far: 0.45161290322580644
tensor(0.0977, device='cuda:1')
pval: 0.05900000408291817 -- 125th test, time elapsed 2.1018476486206055 -- emperical power so far: 0.448
tensor(0.2014, device='cuda:1')
pval: 0.007000000216066837 -- 126th test, time elapsed 2.094736337661743 -- emperical power so far: 0.4523809523809524
tensor(0.0856, device='cuda:1')
