cuda:0
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.11400000751018524 -- 100th test, time elapsed 2.048145294189453 -- emperical power so far: 0.12
tensor(0.0049, device='cuda:0')
pval: 0.4130000174045563 -- 101th test, time elapsed 2.093273162841797 -- emperical power so far: 0.1188118811881188
tensor(0.5281, device='cuda:0')
pval: 0.01600000075995922 -- 102th test, time elapsed 2.0770468711853027 -- emperical power so far: 0.12745098039215685
tensor(0.6412, device='cuda:0')
pval: 0.007000000216066837 -- 103th test, time elapsed 2.089862108230591 -- emperical power so far: 0.13592233009708737
tensor(-0.0839, device='cuda:0')
pval: 0.6390000581741333 -- 104th test, time elapsed 2.1166341304779053 -- emperical power so far: 0.1346153846153846
tensor(-0.1674, device='cuda:0')
pval: 0.8490000367164612 -- 105th test, time elapsed 2.0916428565979004 -- emperical power so far: 0.13333333333333333
tensor(0.5209, device='cuda:0')
pval: 0.018000001087784767 -- 106th test, time elapsed 2.07724928855896 -- emperical power so far: 0.14150943396226415
tensor(0.1220, device='cuda:0')
pval: 0.22500000894069672 -- 107th test, time elapsed 2.097846746444702 -- emperical power so far: 0.14018691588785046
tensor(0.0721, device='cuda:0')
pval: 0.27400001883506775 -- 108th test, time elapsed 2.0835464000701904 -- emperical power so far: 0.1388888888888889
tensor(0.4580, device='cuda:0')
pval: 0.02200000174343586 -- 109th test, time elapsed 2.097696304321289 -- emperical power so far: 0.14678899082568808
tensor(-0.1806, device='cuda:0')
pval: 0.8720000386238098 -- 110th test, time elapsed 2.069392442703247 -- emperical power so far: 0.14545454545454545
tensor(0.2217, device='cuda:0')
pval: 0.11900000274181366 -- 111th test, time elapsed 2.1018645763397217 -- emperical power so far: 0.14414414414414414
tensor(-0.1641, device='cuda:0')
pval: 0.831000030040741 -- 112th test, time elapsed 2.1113061904907227 -- emperical power so far: 0.14285714285714285
tensor(-0.0283, device='cuda:0')
pval: 0.4660000205039978 -- 113th test, time elapsed 2.0793724060058594 -- emperical power so far: 0.1415929203539823
tensor(-0.1269, device='cuda:0')
pval: 0.7230000495910645 -- 114th test, time elapsed 2.0819220542907715 -- emperical power so far: 0.14035087719298245
tensor(0.1163, device='cuda:0')
pval: 0.2150000035762787 -- 115th test, time elapsed 2.1006927490234375 -- emperical power so far: 0.1391304347826087
tensor(0.0795, device='cuda:0')
pval: 0.2540000081062317 -- 116th test, time elapsed 2.0588200092315674 -- emperical power so far: 0.13793103448275862
tensor(-0.1066, device='cuda:0')
pval: 0.6700000166893005 -- 117th test, time elapsed 2.0895333290100098 -- emperical power so far: 0.13675213675213677
tensor(0.4562, device='cuda:0')
pval: 0.03200000151991844 -- 118th test, time elapsed 2.0751149654388428 -- emperical power so far: 0.1440677966101695
tensor(0.0142, device='cuda:0')
pval: 0.3790000081062317 -- 119th test, time elapsed 2.083008050918579 -- emperical power so far: 0.14285714285714285
tensor(-0.0381, device='cuda:0')
pval: 0.503000020980835 -- 120th test, time elapsed 2.1285674571990967 -- emperical power so far: 0.14166666666666666
tensor(-0.0287, device='cuda:0')
pval: 0.44300001859664917 -- 121th test, time elapsed 2.1419990062713623 -- emperical power so far: 0.14049586776859505
tensor(-0.1296, device='cuda:0')
pval: 0.7510000467300415 -- 122th test, time elapsed 2.1202480792999268 -- emperical power so far: 0.13934426229508196
tensor(0.5769, device='cuda:0')
pval: 0.015000000596046448 -- 123th test, time elapsed 2.11377215385437 -- emperical power so far: 0.14634146341463414
tensor(-0.0869, device='cuda:0')
pval: 0.6180000305175781 -- 124th test, time elapsed 2.0780110359191895 -- emperical power so far: 0.14516129032258066
tensor(-0.0348, device='cuda:0')
pval: 0.5 -- 125th test, time elapsed 2.0808112621307373 -- emperical power so far: 0.144
tensor(0.3085, device='cuda:0')
pval: 0.06700000166893005 -- 126th test, time elapsed 2.1338586807250977 -- emperical power so far: 0.14285714285714285
tensor(0.0090, device='cuda:0')
pval: 0.3970000147819519 -- 127th test, time elapsed 2.143420934677124 -- emperical power so far: 0.14173228346456693
tensor(0.0671, device='cuda:0')
